trade_date	stock_code	stock_name	open_price	highest_price	lowest_price	close_price	turnover_volume	turnover_amount
2000/10/24	399002	深成指R	5338.73	5357.97	5302.29	5325.53	6582675	7814531072
2000/10/25	399002	深成指R	5330.86	5371.74	5303.05	5358.57	10482375	10835206144
2000/10/26	399002	深成指R	5355.81	5366.39	5298.45	5305.41	9489195	8353734144
2000/10/27	399002	深成指R	5308.09	5320.71	5285.88	5316.35	7739864	7678722048
2000/10/30	399002	深成指R	5321.63	5325.66	5284	5307.39	8706229	9009966080
2000/10/31	399002	深成指R	5308.28	5323.93	5268.53	5278.61	8262700	8292597248
2000/11/01	399002	深成指R	5277.81	5317.05	5277.06	5314.68	8397618	7359811072
2000/11/02	399002	深成指R	5318.58	5360.38	5318.58	5341.92	9936664	9251534848
2000/11/03	399002	深成指R	5350.5	5359.71	5326.28	5340.72	12959987	8784563200
2000/11/06	399002	深成指R	5357.34	5367.21	5328.75	5363.36	11765992	9062316032
2000/11/07	399002	深成指R	5372.72	5379.12	5337.27	5352.22	10143027	8094542848
2000/11/08	399002	深成指R	5357.68	5400.48	5356.26	5399.46	10439421	8311616000
2000/11/09	399002	深成指R	5396.02	5488.66	5395.53	5487.3	17528053	12152924160
2000/11/10	399002	深成指R	5509.91	5602.77	5498.55	5576.37	17385337	15160735744
2000/11/13	399002	深成指R	5594.79	5705.44	5594.71	5682.53	17285059	15721065472
2000/11/14	399002	深成指R	5698.97	5701.88	5624.68	5699.02	14393240	13679736832
2000/11/15	399002	深成指R	5710.73	5735.18	5658.21	5682.81	15954612	14181066752
2000/11/16	399002	深成指R	5683.29	5728.68	5683.09	5727.12	16563563	13961549824
2000/11/17	399002	深成指R	5740.31	5757.54	5700.88	5725.03	15172200	13087916032
2000/11/20	399002	深成指R	5722.82	5733.95	5652.26	5732.02	15532188	13479231488
2000/11/21	399002	深成指R	5733.72	5762.59	5688.43	5693.03	16160307	12511528960
2000/11/22	399002	深成指R	5678.26	5762.85	5666.16	5761.29	16730382	12631600128
2000/11/23	399002	深成指R	5779.8	5792.37	5731.11	5756.66	14282882	13775027200
2000/11/24	399002	深成指R	5758.07	5780.48	5564.95	5594.22	18422739	16254214144
2000/11/27	399002	深成指R	5545.06	5615.79	5513.14	5565.66	12232871	10992415744
2000/11/28	399002	深成指R	5571.12	5624.43	5571.12	5624.05	9166464	9231748096
2000/11/29	399002	深成指R	5629.21	5633.04	5541.18	5567.29	13419555	10141159424
2000/11/30	399002	深成指R	5569.78	5591.77	5549.26	5580.03	9075070	8239496192
2000/12/01	399002	深成指R	5587.97	5615.98	5582.18	5603.15	13035992	9343995904
2000/12/04	399002	深成指R	5613.25	5619.23	5583.83	5608.98	13646022	10030423040
2000/12/05	399002	深成指R	5615.35	5626.53	5561.17	5567.99	13747842	9446773760
2000/12/06	399002	深成指R	5573.3	5588.15	5497.57	5510.48	11760230	10266523648
2000/12/07	399002	深成指R	5506.28	5533.66	5469.14	5488.5	9346299	8500036096
2000/12/08	399002	深成指R	5483.41	5510	5478.5	5482.85	10048927	7656971776
2000/12/11	399002	深成指R	5486.88	5488.17	5380.4	5387.6	11676829	8707936256
2000/12/12	399002	深成指R	5394.06	5434.55	5369.15	5433.14	9192989	7207346176
2000/12/13	399002	深成指R	5437.1	5437.72	5397.94	5403.47	8272005	6863471104
2000/12/14	399002	深成指R	5411.05	5444.85	5408.45	5425.27	13017674	6969904128
2000/12/15	399002	深成指R	5429.01	5449.04	5397.55	5423.6	11472048	6939144192
2000/12/18	399002	深成指R	5430.83	5440.46	5369.06	5438.04	8746708	7899423232
2000/12/19	399002	深成指R	5449.78	5458.65	5413.42	5423.16	6954004	6474203136
2000/12/20	399002	深成指R	5429.44	5473.67	5411.32	5472.02	8724360	7853044224
2000/12/21	399002	深成指R	5488.76	5514.35	5463.16	5468.91	9200154	8490094080
2000/12/22	399002	深成指R	5471.96	5482.43	5423.62	5441.1	8625057	8336739840
2000/12/25	399002	深成指R	5442.49	5442.49	5372.95	5386.72	10159781	9081406464
2000/12/26	399002	深成指R	5397.12	5416.07	5372.69	5412.37	9626150	8579281920
2000/12/27	399002	深成指R	5409.41	5426.13	5383.69	5390.54	9661621	7663861248
2000/12/28	399002	深成指R	5396.81	5425.29	5381.06	5416.48	9209248	7367324160
2000/12/29	399002	深成指R	5420.96	5469.73	5420.96	5466.84	10562509	7195469824
2001/01/02	399002	深成指R	5470.94	5522	5447	5520.35	16124748	9620340736
2001/01/03	399002	深成指R	5531.08	5560.13	5505.7	5557.3	13088377	12389544960
2001/01/04	399002	深成指R	5567.31	5573.85	5520.86	5526.85	10265184	10616587264
2001/01/05	399002	深成指R	5527.38	5532.82	5489.5	5516.48	9953568	10324239360
2001/01/08	399002	深成指R	5517.82	5517.82	5408.92	5433.07	11668727	11850433536
2001/01/09	399002	深成指R	5420.43	5460.8	5395.31	5458.12	8480565	8144879104
2001/01/10	399002	深成指R	5461.2	5512.46	5457.11	5510.28	9957120	9939675136
2001/01/11	399002	深成指R	5520.14	5584.16	5513.1	5545.45	10263114	11422319616
2001/01/12	399002	深成指R	5555.82	5555.82	5505.82	5518.39	9574478	10104629248
2001/01/15	399002	深成指R	5501.52	5501.52	5347.65	5354.6	13292712	10510115840
2001/01/16	399002	深成指R	5331.77	5397.95	5311.35	5391.11	8689327	7758867968
2001/01/17	399002	深成指R	5402.28	5415.29	5359.17	5367.4	6416239	6410322944
2001/01/18	399002	深成指R	5370.12	5425.35	5370.12	5401.53	9686780	6917608960
2001/01/19	399002	深成指R	5413.56	5462.63	5413.56	5459.7	9442065	7543196160
2001/02/05	399002	深成指R	5473.28	5485.7	5330.28	5339.06	8037262	6404960256
2001/02/06	399002	深成指R	5324.13	5334.86	5221.65	5307.15	7523310	5725773824
2001/02/07	399002	深成指R	5306.71	5323.24	5248.17	5250.85	5865904	4110574080
2001/02/08	399002	深成指R	5240.93	5252.92	5070.09	5078.55	7148577	5506577920
2001/02/09	399002	深成指R	5085.78	5176.28	5085.78	5158.55	10476896	5847673856
2001/02/12	399002	深成指R	5169.71	5172.29	5082.06	5138.35	6444552	5066848256
2001/02/13	399002	深成指R	5146.87	5173.7	5137.95	5143.59	5011555	4339693056
2001/02/14	399002	深成指R	5144.3	5166.47	5132.81	5148.19	3272887	3227837952
2001/02/15	399002	深成指R	5151.14	5171.34	5104.35	5108.95	3728582	3379559936
2001/02/16	399002	深成指R	5099.15	5117.67	5029.73	5115.31	5004412	4225690112
2001/02/19	399002	深成指R	5117.75	5176.82	5087.1	5175.07	5256342	4158189056
2001/02/20	399002	深成指R	5171.21	5217.07	5133.1	5150.94	5749568	5171985920
2001/02/21	399002	深成指R	5140.65	5140.65	4982.84	5017.11	7582631	6521187840
2001/02/22	399002	深成指R	4991.92	5048.09	4964.46	5004.89	5062090	4639803904
2001/02/23	399002	深成指R	4997.5	5078.38	4992.16	5077.59	5617098	4775105024
2001/02/26	399002	深成指R	5093.06	5141.84	5079.89	5139.41	6779429	5646195200
2001/02/27	399002	深成指R	5147.63	5157.29	5091.24	5135.71	6476773	5337541120
2001/02/28	399002	深成指R	5143.56	5150.52	5090.19	5107.66	4939575	4102493952
2001/03/01	399002	深成指R	5110.06	5141.05	5106.3	5138.88	6136501	4656033792
2001/03/02	399002	深成指R	5145.22	5234.05	5145.22	5217.03	14813254	7361012224
2001/03/05	399002	深成指R	5230.36	5236.93	5184.03	5185.58	6822270	5469469184
2001/03/06	399002	深成指R	5189.47	5196.4	5151.91	5196.03	8021187	6242032128
2001/03/07	399002	深成指R	5204.11	5231.96	5198.25	5216.44	6862840	5774701056
2001/03/08	399002	深成指R	5219.77	5292.24	5202.63	5278.31	6646851	6530643968
2001/03/09	399002	深成指R	5283.85	5337.68	5283.82	5323.33	6992973	7810741248
2001/03/12	399002	深成指R	5328.69	5336.75	5291.14	5315	5924366	6624041984
2001/03/13	399002	深成指R	5311.29	5311.29	5248.52	5272.75	6560841	6041499136
2001/03/14	399002	深成指R	5264.86	5344.88	5245.38	5343.84	5737628	5860578816
2001/03/15	399002	深成指R	5345.73	5357.93	5329.69	5344.9	8263260	7107780096
2001/03/16	399002	深成指R	5341.26	5362.12	5311.93	5334.91	7531664	7388952064
2001/03/19	399002	深成指R	5333.92	5371.08	5318.81	5370.35	9663685	8097737216
2001/03/20	399002	深成指R	5377.82	5404.14	5372.17	5399.73	7200592	7377271808
2001/03/21	399002	深成指R	5404.71	5464.59	5379.4	5451.62	11590208	8679103488
2001/03/22	399002	深成指R	5462.11	5497.18	5450.09	5484.39	15425374	11165611008
2001/03/23	399002	深成指R	5493.26	5501.42	5374.72	5375.58	14014868	11672435712
2001/03/26	399002	深成指R	5364.67	5456.12	5360.1	5453.57	12113697	8842080256
2001/03/27	399002	深成指R	5477.34	5509.78	5450.87	5507.76	11000288	10824341504
2001/03/28	399002	深成指R	5518.43	5534.28	5483.94	5516.87	11442288	10215399424
2001/03/29	399002	深成指R	5521.61	5528.54	5473.36	5477.98	10587585	9463266304
2001/03/30	399002	深成指R	5483.15	5491.54	5447.63	5481.39	16338453	9491824640
2001/04/02	399002	深成指R	5492.18	5513.12	5460.91	5503.56	18260416	11130078208
2001/04/03	399002	深成指R	5504.96	5510.8	5453.34	5472.66	16378801	9522860032
2001/04/04	399002	深成指R	5474.77	5501.59	5372.76	5390.66	15186726	10058707968
2001/04/05	399002	深成指R	5372.6	5446.88	5366.18	5444.92	22197335	9014122496
2001/04/06	399002	深成指R	5462.24	5482.4	5420.53	5437.3	28997199	9870940160
2001/04/09	399002	深成指R	5429.77	5450.64	5401.59	5443.72	21364432	8950632448
2001/04/10	399002	深成指R	5437.48	5479.53	5437.48	5475.99	18579514	8443948032
2001/04/11	399002	深成指R	5482.85	5493.67	5452.34	5485.28	10767489	7875804160
2001/04/12	399002	深成指R	5492.75	5531.64	5477.78	5501.41	11843256	10972096512
2001/04/13	399002	深成指R	5504.64	5544.37	5489.12	5544.2	13025365	9698944000
2001/04/16	399002	深成指R	5561.2	5589.79	5547.65	5587.19	23835189	14878382080
2001/04/17	399002	深成指R	5597.57	5604.07	5547.27	5577.78	17331847	13038099456
2001/04/18	399002	深成指R	5576.14	5590.88	5528.21	5537.97	15900099	11741209600
2001/04/19	399002	深成指R	5534.57	5540.08	5453.49	5504.06	12221992	10425884672
2001/04/20	399002	深成指R	5505.46	5518.89	5430.37	5431.32	12075224	11922447360
2001/04/23	399002	深成指R	5418.22	5434.34	5365.61	5390.33	14050970	9816721408
2001/04/24	399002	深成指R	5391.83	5415.94	5381.31	5393.31	7417190	7633602048
2001/04/25	399002	深成指R	5384.47	5405.49	5279	5285.69	9711730	9231253504
2001/04/26	399002	深成指R	5271.59	5300.65	5240.95	5246.23	6738915	6929187840
2001/04/27	399002	深成指R	5243.87	5291.53	5243.87	5279.3	7631587	6247634944
2001/04/30	399002	深成指R	5279.4	5304.91	5262.39	5276.35	5913268	5234391040
